Date,HDFCBANK.NS,SPARC.NS
2025-10-15,978.25,131.27999877929688
2025-10-16,994.3499755859375,131.8300018310547
2025-10-17,1002.5499877929688,129.39999389648438
2025-10-20,1002.9500122070312,130.00999450683594
2025-10-21,1007.7000122070312,131.8000030517578
2025-10-23,1008.7999877929688,131.99000549316406
2025-10-24,994.75,131.3699951171875
2025-10-27,1002.9500122070312,133.25999450683594
2025-10-28,1003.5499877929688,142.22999572753906
2025-10-29,1007.8499755859375,137.72000122070312
2025-10-30,998.1500244140625,136.9499969482422
2025-10-31,987.2999877929688,135.19000244140625
2025-11-03,992.6500244140625,140.13999938964844
2025-11-04,985.25,136.58999633789062
2025-11-06,984.6500244140625,134.5800018310547
2025-11-07,982.2999877929688,133.35000610351562
2025-11-10,984.5,131.3699951171875
2025-11-11,991.7000122070312,131.08999633789062
2025-11-12,989.5,132.99000549316406
2025-11-13,986.6500244140625,131.1699981689453
2025-11-14,989.5999755859375,132.07000732421875
2025-11-17,996.5499877929688,131.4199981689453
2025-11-18,992.4500122070312,130.13999938964844
2025-11-19,994.5999755859375,130.72000122070312
2025-11-20,1008.8499755859375,138.05999755859375
2025-11-21,998.0499877929688,136.00999450683594
2025-11-24,999.1500244140625,133.50999450683594
2025-11-25,989.7999877929688,132.8300018310547
2025-11-26,1003.9000244140625,133.74000549316406
2025-11-27,1009.5,135.64999389648438
2025-11-28,1007.5999755859375,134.50999450683594
2025-12-01,1002.0999755859375,134.19000244140625
2025-12-02,989.7999877929688,161.02000427246094
2025-12-03,1000.5,151.5500030517578
2025-12-04,997.2000122070312,152.10000610351562
2025-12-05,1003.2999877929688,152.94000244140625
2025-12-08,1003.0999755859375,139.9499969482422
2025-12-09,997.0999755859375,142.19000244140625
2025-12-10,989.7999877929688,137.72999572753906
2025-12-11,1000.2999877929688,137.3000030517578
2025-12-12,1001.5,136.83999633789062
2025-12-15,996.0999755859375,136.4199981689453
2025-12-16,994.2999877929688,132.85000610351562
2025-12-17,984.0,130.77999877929688
2025-12-18,979.7000122070312,131.7899932861328
2025-12-19,985.5,143.82000732421875
2025-12-22,987.7000122070312,139.77000427246094
2025-12-23,996.5999755859375,134.00999450683594
2025-12-24,997.2000122070312,135.61000061035156
2025-12-26,992.0999755859375,134.02999877929688
2025-12-29,991.7000122070312,133.6199951171875
2025-12-30,990.9000244140625,134.4499969482422
2025-12-31,991.2000122070312,134.4499969482422
2026-01-01,991.1500244140625,135.02999877929688
2026-01-02,1001.5999755859375,135.72000122070312
2026-01-05,977.5,135.33999633789062
2026-01-06,962.2000122070312,135.91000366210938
2026-01-07,949.0499877929688,137.88999938964844
2026-01-08,946.7000122070312,135.13999938964844
2026-01-09,939.0,132.3800048828125
2026-01-12,936.9500122070312,135.25999450683594
2026-01-13,937.3499755859375,135.85000610351562
2026-01-14,925.4500122070312,135.44000244140625
2026-01-15,925.4500122070312,135.44000244140625
2026-01-16,931.0999755859375,133.52000427246094
2026-01-19,927.9000244140625,130.2899932861328
2026-01-20,931.2000122070312,127.98999786376953
2026-01-21,920.3499755859375,128.8000030517578
2026-01-22,918.7000122070312,129.5500030517578
2026-01-23,916.0999755859375,124.94000244140625
2026-01-27,926.4000244140625,123.05000305175781
2026-01-28,932.7000122070312,124.98999786376953
2026-01-29,935.5,124.9800033569336
2026-01-30,929.25,126.08000183105469
2026-02-02,928.0999755859375,133.5
2026-02-03,948.7000122070312,139.61000061035156
2026-02-04,953.0999755859375,141.30999755859375
2026-02-05,949.7000122070312,140.25
2026-02-06,941.0999755859375,139.16000366210938
2026-02-09,937.25,138.00999450683594
2026-02-10,932.4000244140625,140.5500030517578
2026-02-11,927.0999755859375,136.9600067138672
2026-02-12,920.5999755859375,135.1999969482422
2026-02-13,903.9000244140625,132.10000610351562
2026-02-16,925.7999877929688,133.69000244140625
2026-02-17,925.7000122070312,134.32000732421875
2026-02-18,924.7000122070312,132.2100067138672
2026-02-19,915.5999755859375,130.8800048828125
2026-02-20,911.8499755859375,129.2100067138672
2026-02-23,923.5999755859375,128.05999755859375
2026-02-24,910.5,127.5
2026-02-25,907.5999755859375,130.9199981689453
2026-02-26,898.5999755859375,128.42999267578125
2026-02-27,887.75,127.08000183105469
2026-03-02,879.4000244140625,125.91999816894531
